country,Region,Surface area,Population,"Population density","Sex ratio",GDP,"GDP growth rate",Economy,Agricultural,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"current accoun",Population growth rate,Urban population,Urban population growth rate,age distribution
Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,25.5,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,34.8/6.7
Palau,Micronesia,459,22,47.2,113.3,258,5.7,3.8,-99,-99,7,154,-147,-24,0.8,87.1,1.7,20.3/13.1
Panama,CentralAmerica,75320,4099,55.1,100.4,52132,5.8,2.8,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,27.4/11.4
Papua New Guinea,Melanesia,462840,8251,18.2,103.5,21315,6.6,20.1,84,83,8760,8874,-114,5326,2.2,13,2.1,35.9/6.1
Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,3.1,19,160,166,8494,9753,-1259,-462,1.3,59.7,2.1,29.4/9.4
Peru,SouthAmerica,1285216,32166,25.1,99.8,190428,3.3,7.6,145,148,36040,36185,-145,-9210,1.3,78.6,1.7,27.4/10.4
Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,5.9,10.5,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,31.7/7.6
Poland,EasternEurope,312679,38171,124.6,93.4,477066,3.9,2.6,113,113,196455,188518,7937,-2932,-~0.0,60.5,-0.1,14.8/24.0
Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,1.6,2.3,104,104,55658,67580,-11922,842,-0.4,63.5,1,13.6/27.9
Puerto Rico,Caribbean,8868,3663,413,92.6,102906,-~0.0,0.8,110,111,-99,-99,-99,-99,-0.2,93.6,-0.2,17.9/20.4
Qatar,WesternAsia,11607,2639,227.3,301.2,164641,3.6,0.2,154,154,57254,32058,25196,13751,6.6,99.2,6,13.9/2.8
Republic of Korea,EasternAsia,100284,50982,524.3,100.2,1377873,2.6,2.3,104,104,495418,406182,89236,105871,0.4,82.5,0.7,13.5/20.1
Republic of Moldova,EasternEurope,33846,4051,123.3,92.2,6475,-0.7,13.4,109,109,2045,4020,-1975,-415,-0.1,45,-0.7,15.7/17.6
Romania,EasternEurope,238391,19679,85.5,94,177956,3.7,4.8,100,100,63581,74605,-11024,-2096,-0.6,54.6,~0.0,15.3/24.9
Russian Federation,EasternEurope,17098246,143990,8.8,86.8,1326016,-3.7,4.7,120,120,285491,182257,103234,69000,0.1,74,-0.1,17.6/21.1
Rwanda,EasternAfrica,26338,12208,494.9,96.2,8096,6.9,34.6,139,139,622,1778,-1157,-1099,2.5,28.8,6.4,40.1/4.9
Saint Helena,WesternAfrica,308,4,10.4,-99,-99,-99,-99,-99,-99,~0,48,-48,-99,-0.7,39.4,-0.6,-99
Saint Kitts and Nevis,Caribbean,261,55,212.9,97,876,3.8,1.2,39,39,51,332,-280,-63,1.1,32,1.3,.../...
Saint Lucia,Caribbean,539,179,293.2,95.9,1450,1.9,2.7,69,69,120,654,-535,-100,0.5,18.5,0.9,18.9/13.7
Saint Pierre and Miquelon,NorthernAmerica,242,6,27.5,98.2,-99,-99,-99,112,112,653,2629,-1976,-99,~0.0,90.4,0.1,.../...
Saint Vincent and the Grenadines,Caribbean,389,110,281.8,101.7,738,1.6,7.5,115,115,47,335,-288,-210,~0.0,50.6,0.7,23.8/11.7
Samoa,Polynesia,2842,196,69.4,106.6,774,2.8,9.3,107,107,56,350,-294,-44,0.8,19.1,-0.2,36.6/8.5
San Marino,SouthernEurope,61,33,556.7,94.9,1565,1,0.1,-99,-99,-99,-99,-99,-99,1.2,94.2,0.6,15.0/24.1
Sao Tome and Principe,MiddleAfrica,964,204,212.8,99.2,334,4,12.3,119,119,10,139,-129,-69,2.2,65.1,3.6,42.8/4.3
Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,3.4,2.3,96,96,182329,135904,46426,-56724,2.8,83.1,2.1,25.2/5.6
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,6.5,15.5,126,127,2640,5478,-2838,-1348,3,43.7,3.6,42.9/4.7
Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,0.8,8.2,102,102,14852,19231,-4379,-1751,-0.4,55.6,-0.3,16.5/24.5
Seychelles,EasternAfrica,457,95,206,97.2,1363,6.8,2.7,105,109,335,833,-498,-256,0.5,53.9,1.1,22.2/13.3
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,-20.3,51.4,168,168,466,958,-492,-1317,2.3,39.9,2.7,42.1/4.2
Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,2,~0.0,112,112,329871,283009,46862,57922,1.7,100,2,15.0/19.5
Sint Maarten (Dutch part),Caribbean,34,40,1180,95.7,1094,0.5,0.1,-99,-99,-99,-99,-99,23,3.1,100,2,21.0/10.4
